id time ESJoint1 ESJoint2 ESJoint3 ESJoint4 ESJoint5 ESJoint6 gripper_finger_1_joint gripper_finger_2_joint
0 1733225515.473907 3.847841 0.729970 1.842806 1.700805 0.986826 3.102380 0.802782 0.720970
1 1733225515.973906 3.847703 0.730166 1.842865 1.700853 0.986826 3.102380 0.802782 0.720970
2 1733225516.473920 3.847645 0.730303 1.842885 1.700853 0.986874 3.102332 0.802782 0.720970
3 1733225516.973909 3.847586 0.730361 1.842924 1.700853 0.986922 3.102332 0.802782 0.720970
4 1733225517.473923 3.847566 0.730381 1.842943 1.700901 0.986970 3.102284 0.802782 0.720970
5 1733225517.973938 3.847527 0.730420 1.842943 1.700901 0.987066 3.102332 0.802782 0.720970
6 1733225518.473996 3.847527 0.730459 1.842963 1.700901 0.987162 3.102284 0.802782 0.720970
7 1733225518.973933 3.847527 0.730459 1.842963 1.700949 0.987162 3.102236 0.802782 0.720970
8 1733225519.473948 3.847527 0.730459 1.842983 1.700949 0.987258 3.102189 0.802782 0.720970
9 1733225519.973976 3.847508 0.730459 1.842983 1.700949 0.987258 3.102141 0.802782 0.720970
10 1733225532.573938 3.422946 1.230973 1.932269 1.528280 1.587620 2.663326 0.802782 0.720970
11 1733225544.373930 3.097560 1.460846 1.993986 1.242193 1.592174 2.337068 0.802782 0.720970
12 1733225549.773948 3.409573 2.049100 1.307283 1.334327 1.587476 2.649329 0.178964 1.360128
13 1733225555.373940 3.202080 1.668672 2.046168 0.979355 1.590544 2.441954 0.787442 0.715857
14 1733225560.273972 2.993020 2.034845 1.620569 1.042775 1.594331 2.232278 0.184077 1.360128
15 1733225565.473918 3.184125 1.739984 1.873019 1.080837 1.591886 2.422779 0.792556 0.720970
16 1733225570.673913 3.372899 2.148666 1.541288 1.000734 1.589058 2.611842 0.189191 1.360128
17 1733225575.873902 3.444935 2.355082 1.168478 1.165877 1.587380 2.684706 0.792556 0.720970
18 1733225580.873939 3.571875 2.432797 0.899502 1.355899 1.584647 2.812218 0.184077 1.360128
19 1733225586.273910 3.535240 1.907808 1.537685 1.243631 1.584743 2.776457 0.792556 0.720970
20 1733225595.373934 3.654367 1.888599 1.763643 1.035009 1.582490 2.895485 0.184077 1.355014
21 1733225600.473999 3.507455 1.565973 2.200383 0.922645 1.585079 2.748606 0.792556 0.720970
22 1733225605.473929 3.160844 1.786468 1.772572 1.135821 1.591502 2.400872 0.184077 1.355014
23 1733225610.473930 3.328001 1.485948 2.129404 1.076475 1.589633 2.567452 0.787442 0.720970
24 1733225615.473945 3.401486 1.511853 2.063810 1.114632 1.587907 2.641275 0.189191 1.355014
25 1733225620.673918 3.321089 1.815604 1.825615 1.050781 1.589249 2.561412 0.787442 0.720970
26 1733225625.873987 3.028480 1.768513 1.766443 1.162665 1.594379 2.267703 0.189191 1.355014
27 1733225631.073954 3.354709 2.032848 1.592765 1.065881 1.589633 2.594105 0.787442 0.720970
28 1733225635.973945 3.257199 2.168285 1.414838 1.109983 1.590496 2.496889 0.189191 1.355014
29 1733225641.073941 3.029655 1.796571 1.916017 0.985490 1.594618 2.268806 0.792556 0.720970
30 1733225650.173960 2.903283 1.923609 1.620099 1.157584 1.595529 2.141629 0.184077 1.360128
31 1733225655.273957 3.085851 1.599828 1.929293 1.167075 1.594475 2.323693 0.787442 0.720970
32 1733225660.673906 3.429349 1.752222 1.945877 0.991195 1.587620 2.668264 0.184077 1.360128
33 1733225665.473901 3.329901 1.355112 2.081824 1.254273 1.589297 2.569610 0.787442 0.720970
34 1733225670.473920 2.951549 1.625831 2.109550 0.964638 1.595050 2.189901 0.184077 1.360128
35 1733225675.773924 3.057420 1.799685 1.673593 1.223881 1.594762 2.295075 0.787442 0.726083
36 1733225680.773935 3.155988 1.832247 1.742614 1.120529 1.593084 2.393681 0.189191 1.355014
37 1733225685.673935 3.392988 1.941114 1.617338 1.131554 1.589297 2.631688 0.787442 0.720970
38 1733225690.873953 3.176253 1.778988 1.728359 1.187161 1.592030 2.414965 0.189191 1.355014
39 1733225695.973939 3.095328 1.627730 1.905327 1.163912 1.592701 2.333760 0.787442 0.726083
40 1733225704.473954 3.301294 1.974694 1.687749 1.029784 1.589345 2.540080 0.184077 1.355014
41 1733225709.473994 2.980450 2.040210 1.633610 1.024895 1.594714 2.217849 0.787442 0.720970
42 1733225714.473920 2.918713 1.573394 2.023631 1.102504 1.595194 2.155291 0.189191 1.355014
43 1733225719.773918 2.932321 1.906182 1.605962 1.187401 1.595289 2.168186 0.792556 0.720970
44 1733225724.973932 3.094251 1.902423 1.660298 1.133424 1.594139 2.330740 0.189191 1.355014
45 1733225730.174034 2.922002 2.064451 1.262914 1.373252 1.595529 2.158599 0.792556 0.720970
46 1733225735.373904 3.091725 1.844504 1.574829 1.277570 1.594475 2.328103 0.189191 1.355014
47 1733225740.273937 3.075845 1.811257 1.654874 1.231455 1.594331 2.312907 0.787442 0.726083
48 1733225745.273923 2.924841 1.662896 1.829374 1.209068 1.595433 2.161283 0.189191 1.355014
49 1733225750.173905 3.029205 1.697475 1.817548 1.183374 1.595050 2.264971 0.787442 0.726083
50 1733225758.973937 3.168989 1.854412 1.724678 1.116023 1.591934 2.405378 0.189191 1.355014
51 1733225763.974003 3.279755 2.024585 1.324847 1.343148 1.590640 2.515393 0.787442 0.720970
52 1733225769.073922 3.437142 1.681380 1.774941 1.233852 1.587476 2.673153 0.184077 1.355014
53 1733225773.973894 3.768403 1.723478 1.935794 1.026716 1.580285 3.005835 0.787442 0.720970
54 1733225779.073933 3.400253 1.621797 2.032129 1.036208 1.587620 2.637728 0.189191 1.360128
55 1733225784.073922 3.204978 1.342033 2.296033 1.055478 1.591119 2.441714 0.777216 0.726083
56 1733225789.373946 3.083501 1.766065 2.012979 0.917516 1.592701 2.319139 0.194304 1.360128
57 1733225794.373924 3.111521 1.591545 2.156014 0.948148 1.593036 2.346703 0.777216 0.726083
58 1733225799.573954 3.363226 1.831601 1.642108 1.217649 1.589297 2.598947 0.194304 1.360128
59 1733225804.573944 3.385900 1.917128 1.739089 1.035057 1.588866 2.621909 0.777216 0.720970
60 1733225804.573944 3.385900 1.917128 1.739089 1.035057 1.588866 2.621909 0.777216 0.720970
